,a,0.00,0.05,0.10,0.30,0.60
186,2.2436,0.000385160170941,2.34909943142e-05,5.08218226565e-05,6.06598232844e-06,-0.000169229709392
187,2.249,0.000387482233687,2.55705581158e-05,5.11286069744e-05,1.60603843611e-05,-0.000170249090723
188,2.2544,0.000389812677779,2.76700568489e-05,5.49272787529e-05,1.61574333326e-05,-0.00017127214303
189,2.2598,0.000392151513297,2.78365122273e-05,5.5257224596e-05,1.62548361629e-05,-0.000172298870666
190,2.2652,0.000394498750307,2.99682559342e-05,5.91101333387e-05,1.63525932755e-05,-0.00017332927798
191,2.2705,0.000396810699241,3.01443163711e-05,5.9456926603e-05,1.64488850172e-05,-0.000174344185969
192,2.2759,0.00039917461334,3.2308259899e-05,5.98115183226e-05,2.67460095218e-05,-0.000175381897322
193,2.2813,0.000401546958877,3.25007150543e-05,6.37407365849e-05,2.69054180171e-05,-0.000176423301284
194,2.2867,0.000403927745866,3.46972692995e-05,6.41190469479e-05,2.70653980565e-05,-0.000177468402181
195,2.2921,0.000406316984317,3.69140191343e-05,6.44987039418e-05,2.72259503058e-05,-0.000178517204338
196,2.2974,0.00040867020542,3.71282466496e-05,6.84976807115e-05,2.73840865028e-05,-0.000179550187484
197,2.3028,0.000411076219803,3.93776303906e-05,6.89013465438e-05,3.79841972435e-05,-0.00018060633636
198,2.3082,0.000413490715418,3.96093660933e-05,6.93064389821e-05,3.82077511119e-05,-0.000181666199345
199,2.3136,0.000415913702223,4.18917943228e-05,7.33901627381e-05,3.84320953697e-05,-0.000182729780744
